PATH_LIST	PARAMETERS	DIRECTION	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM	ONE_OVERLAP	RANK_BENIGN_SC	RANK_ONE_OVERLAP	AVG_RANKED_SCORES
CLINGEN+DECIPHER_hg19.BED	10_B	LOSS	1239613	14988693	0	16228306	1239613	1.0	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	10_B_USLB	LOSS	1239613	14988693	0	16228306	1239613	1.0	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_ALL	LOSS	84843280	14988693	7542071	92289902	14988693	0.49681596654224625	1.0	0.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_B	LOSS	12395089	14988693	1475234	25908548	12395089	0.8809823793923545	0.13343285528372817	0.7634709913393188	0.4484519233115235
CLINGEN+DECIPHER_hg19.BED	1_B_USLB	LOSS	26057826	14988693	2776638	38269881	14988693	0.8147511594239738	0.29685555539088976	0.6318467434210047	0.46435114940594724
CLINGEN+DECIPHER_hg19.BED	2_ALL	LOSS	35313265	14988693	2607124	47694834	14988693	0.8260606178270513	0.4075616922401263	0.6543225328958053	0.5309421125679659
CLINGEN+DECIPHER_hg19.BED	2_B	LOSS	4080662	14988693	495357	18573998	4080662	0.878608666927082	0.03398234912351392	0.7587536070277361	0.396367978075625
CLINGEN+DECIPHER_hg19.BED	2_B_USLB	LOSS	7974447	14988693	1010262	21952878	7974447	0.8733125945911986	0.08055668180200756	0.7482284870244441	0.41439258441322585
CLINGEN+DECIPHER_hg19.BED	3_ALL	LOSS	18791243	14988693	2248573	31531363	14988693	0.8499820498024744	0.2099385186058884	0.7018626581478746	0.4559005883768815
CLINGEN+DECIPHER_hg19.BED	3_B	LOSS	3102635	14988693	253930	17837398	3102635	0.9181566636101249	0.022283974696947203	0.8373490990414216	0.4298165368691844
CLINGEN+DECIPHER_hg19.BED	3_B_USLB	LOSS	4952525	14988693	532388	19408830	4952525	0.8925017036764075	0.04441087494403804	0.7863638566094966	0.4153873657767673
CLINGEN+DECIPHER_hg19.BED	4_ALL	LOSS	13470067	14988693	2232712	26226048	13470067	0.8342464072376181	0.1462908798007628	0.6705905161112427	0.40844069795600274
CLINGEN+DECIPHER_hg19.BED	4_B	LOSS	2827418	14988693	253900	17562211	2827418	0.9102007556010466	0.01899204971475713	0.8215379693551172	0.4202650095349372
CLINGEN+DECIPHER_hg19.BED	4_B_USLB	LOSS	3308885	14988693	253900	18043678	3308885	0.9232672033026231	0.024750971748643512	0.8475055017741949	0.4361282367614192
CLINGEN+DECIPHER_hg19.BED	5_ALL	LOSS	9229131	14988693	2035165	22182659	9229131	0.7794846557059381	0.09556420533563438	0.561760052721196	0.3286621290284152
CLINGEN+DECIPHER_hg19.BED	5_B	LOSS	1991990	14988693	84221	16896462	1991990	0.9577201692779582	0.008999330137038127	0.9159754127500719	0.462487371443555
CLINGEN+DECIPHER_hg19.BED	5_B_USLB	LOSS	2805610	14988693	102009	17692294	2805610	0.9636410620150342	0.01873119991255886	0.9277422661146134	0.47323673301358615
CLINGEN+DECIPHER_hg19.BED	6_ALL	LOSS	7032214	14988693	1917106	20103801	7032214	0.7273823009368031	0.06928644649043923	0.45821472674751457	0.2637505866189769
CLINGEN+DECIPHER_hg19.BED	6_B	LOSS	1570485	14988693	0	16559178	1570485	1.0	0.003957625447218721	1.0	0.5019788127236093
CLINGEN+DECIPHER_hg19.BED	6_B_USLB	LOSS	2029983	14988693	25489	16993187	2029983	0.9874437372135628	0.009453771926056785	0.9750463807443298	0.4922500763351933
CLINGEN+DECIPHER_hg19.BED	7_ALL	LOSS	5384072	14988693	1911100	18461665	5384072	0.6450456086025596	0.04957269398243022	0.2945833575873157	0.17207802578487297
CLINGEN+DECIPHER_hg19.BED	7_B	LOSS	1335959	14988693	0	16324652	1335959	1.0	0.0011524135657829458	1.0	0.5005762067828915
CLINGEN+DECIPHER_hg19.BED	7_B_USLB	LOSS	1789950	14988693	7701	16770942	1789950	0.9956976451856198	0.006582689728190989	0.9914497390053982	0.4990162143667946
CLINGEN+DECIPHER_hg19.BED	8_ALL	LOSS	4511495	14988693	1831438	17668750	4511495	0.5940507525775824	0.03913562786665805	0.19323901310453606	0.11618732048559706
