1_ALL	0.5
1_B	0.4315774848647232
1_B_USLB	0.46194176675573445
2_ALL	0.44300666225839946
2_B	0.46434116997772606
2_B_USLB	0.5257695713595905
3_ALL	0.4419594828360799
3_B	0.46895244427112676
3_B_USLB	0.546131130380568
4_ALL	0.4596758047502193
4_B	0.48491745931406344
4_B_USLB	0.5586023676803316
5_ALL	0.48174097195938437
5_B	0.48111515960580775
5_B_USLB	0.5629037525679458
6_ALL	0.4935871519561173
6_B	0.4813347009887
6_B_USLB	0.5738185661912512
7_ALL	0.5164902601397238
7_B	0.47652189424608754
7_B_USLB	0.5777327209343843
8_ALL	0.5128294623400074
8_B	0.4822661567307276
8_B_USLB	0.5799713033944659
9_ALL	0.5156658907414927
9_B	0.47527777600024806
9_B_USLB	0.5797978514088196
10_ALL	0.5144740521411966
10_B	0.4725668507044895
10_B_USLB	0.5781284844260203
